"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6020","verifyValidLoginTest","Default suite","Sat Jul 05 22:45:26 IST 2025","passed","Sat Jul 05 22:45:32 IST 2025","com.paysecure.test.NewTest","Default test","com.paysecure.test.NewTest","verifyValidLoginTest"
"","30738","testClickFirstEmailOccurrenceOf_Card","Default suite","Tue Jul 15 10:56:03 IST 2025","passed","Tue Jul 15 10:56:34 IST 2025","com.report.test.transaction","Default test","com.report.test.transaction","testClickFirstEmailOccurrenceOf_Card"
"","24267","testTIDInHistoryCardSummarypage","Default suite","Mon Jul 14 14:09:16 IST 2025","passed","Mon Jul 14 14:09:40 IST 2025","com.report.test.transaction","Default test","com.report.test.transaction","testTIDInHistoryCardSummarypage"
"","4098","verifyCustomeIPS_Frequency","Default suite","Thu Jul 10 12:15:26 IST 2025","passed","Thu Jul 10 12:15:30 IST 2025","com.report.test.transaction","Default test","com.report.test.transaction","verifyCustomeIPS_Frequency"
"","1892","validateEmailFieldErrors","Default suite","Wed Jul 16 14:59:30 IST 2025","passed","Wed Jul 16 14:59:32 IST 2025","com.paysecure.admin.manageRoles","Default test","com.paysecure.admin.manageRoles","validateEmailFieldErrors"
"","32304","verifyAPILog","Default suite","Mon Jul 14 16:53:06 IST 2025","passed","Mon Jul 14 16:53:38 IST 2025","com.report.test.apiLog","Default test","com.report.test.apiLog","verifyAPILog"
"","1748","validateEmailFieldErrors","Default suite","Wed Jul 16 15:02:28 IST 2025","passed","Wed Jul 16 15:02:29 IST 2025","com.paysecure.admin.manageRoles","Default test","com.paysecure.admin.manageRoles","validateEmailFieldErrors"
"","762","verifySearchFunctionalityIfUserEnterWrongMerchant_Username","Default suite","Wed Jul 16 14:23:55 IST 2025","passed","Wed Jul 16 14:23:55 IST 2025","com.paysecure.admin.manageRoles","Default test","com.paysecure.admin.manageRoles","verifySearchFunctionalityIfUserEnterWrongMerchant_Username"
"","2103","verify_downloadInvoice","Default suite","Thu Jul 10 12:13:01 IST 2025","passed","Thu Jul 10 12:13:03 IST 2025","com.report.test.transaction","Default test","com.report.test.transaction","verify_downloadInvoice"
"","2047","validatePassswordErrorMessages","Default suite","Wed Jul 16 14:22:06 IST 2025","passed","Wed Jul 16 14:22:08 IST 2025","com.paysecure.admin.manageRoles","Default test","com.paysecure.admin.manageRoles","validatePassswordErrorMessages"
"","19282","testTIDInActionCardSummarypage","Default suite","Mon Jul 14 13:57:22 IST 2025","passed","Mon Jul 14 13:57:41 IST 2025","com.report.test.transaction","Default test","com.report.test.transaction","testTIDInActionCardSummarypage"
"","1770","validateEmailFieldErrors","Default suite","Wed Jul 16 15:01:57 IST 2025","passed","Wed Jul 16 15:01:59 IST 2025","com.paysecure.admin.manageRoles","Default test","com.paysecure.admin.manageRoles","validateEmailFieldErrors"
"","20049","testTIDInActionCardSummarypage","Default suite","Mon Jul 14 13:52:58 IST 2025","passed","Mon Jul 14 13:53:18 IST 2025","com.report.test.transaction","Default test","com.report.test.transaction","testTIDInActionCardSummarypage"
"","6172","verifyErrorIn_downloadInvoice","Default suite","Thu Jul 10 12:13:15 IST 2025","passed","Thu Jul 10 12:13:22 IST 2025","com.report.test.transaction","Default test","com.report.test.transaction","verifyErrorIn_downloadInvoice"
"","3","validateUsernameErrorMessages","Default suite","Wed Jul 16 11:43:21 IST 2025","broken","Wed Jul 16 11:43:21 IST 2025","com.paysecure.admin.manageRoles","Default test","com.paysecure.admin.manageRoles","validateUsernameErrorMessages"
"","1737","validateEmailFieldErrors","Default suite","Wed Jul 16 14:59:45 IST 2025","passed","Wed Jul 16 14:59:47 IST 2025","com.paysecure.admin.manageRoles","Default test","com.paysecure.admin.manageRoles","validateEmailFieldErrors"
"","57","verifyTableHeaders","Default suite","Tue Jul 15 10:42:30 IST 2025","passed","Tue Jul 15 10:42:30 IST 2025","com.report.test.transactionLog","Default test","com.report.test.transactionLog","verifyTableHeaders"
"","34673","selectDateRangeToAndFrom","Default suite","Thu Jul 10 12:08:39 IST 2025","passed","Thu Jul 10 12:09:13 IST 2025","com.report.test.transaction","Default test","com.report.test.transaction","selectDateRangeToAndFrom"
"","1492","validatePassswordErrorMessages","Default suite","Wed Jul 16 14:22:21 IST 2025","passed","Wed Jul 16 14:22:22 IST 2025","com.paysecure.admin.manageRoles","Default test","com.paysecure.admin.manageRoles","validatePassswordErrorMessages"
"","3","setUp","Default suite","Thu Jul 10 15:41:16 IST 2025","broken","Thu Jul 10 15:41:16 IST 2025","com.report.test.transaction","Default test","com.report.test.transaction","setUp"
"","2","beforeMethod","Default suite","Tue Jul 15 10:41:45 IST 2025","failed","Tue Jul 15 10:41:45 IST 2025","com.report.test.transactionLog","Default test","com.report.test.transactionLog","beforeMethod"
"","1812","validateUsernameErrorMessages","Default suite","Wed Jul 16 14:22:51 IST 2025","passed","Wed Jul 16 14:22:53 IST 2025","com.paysecure.admin.manageRoles","Default test","com.paysecure.admin.manageRoles","validateUsernameErrorMessages"
"","1024","f","Default suite","Tue Jul 15 17:15:20 IST 2025","passed","Tue Jul 15 17:15:21 IST 2025","com.paysecure.admin.manageRoles","Default test","com.paysecure.admin.manageRoles","f"
"","7961","testTIDInActionCardSummarypage","Default suite","Mon Jul 14 13:58:21 IST 2025","passed","Mon Jul 14 13:58:29 IST 2025","com.report.test.transaction","Default test","com.report.test.transaction","testTIDInActionCardSummarypage"
"","1873","validateUsernameErrorMessages","Default suite","Wed Jul 16 14:23:06 IST 2025","passed","Wed Jul 16 14:23:08 IST 2025","com.paysecure.admin.manageRoles","Default test","com.paysecure.admin.manageRoles","validateUsernameErrorMessages"
"","131017","testTIDInActionCardSummarypage","Default suite","Mon Jul 14 13:53:32 IST 2025","passed","Mon Jul 14 13:55:43 IST 2025","com.report.test.transaction","Default test","com.report.test.transaction","testTIDInActionCardSummarypage"
